11	1CIpzeNxIhU	How AI Image Generators Work (Stable Diffusion / Dall-E) - Computerphile	Computerphile	1062164	1070	2022-10-04
11	pTaSDVz0gok	EASIEST Way to Fine-Tune a LLM and Use It With Ollama	Tech With Tim	345342	1322	2025-06-27
11	t1caDsMzWBk	LoRA & QLoRA Fine-tuning Explained In-Depth	Mark Hennings	181296	879	2023-12-14
11	lOD_EE96jhM	What Are Vision Language Models? How AI Sees & Understands Images	IBM Technology	129247	588	2025-05-19
11	CcrC5zSv1iA	LLM Fine-Tuning Course – From Supervised FT to RLHF, LoRA, and Multimodal	freeCodeCamp.org	85990	42986	2026-03-10
12	F8NKVhkZZWI	What are AI Agents?	IBM Technology	1746419	748	2024-07-15
12	bZzyPscbtI8	Building AI Agents in Pure Python - Beginner Course	Dave Ebbelaar	443848	2804	2025-02-01
12	sal78ACtGTc	What's next for AI agentic workflows ft. Andrew Ng of AI Fund	Sequoia Capital	411150	820	2024-03-26
12	ZVPlLaehjLk	Agentic AI Frameworks Explained: Workflows, Multi-Agent, & Production	IBM Technology	41110	713	2026-07-09
13	7j_NE6Pjv-E	Model Context Protocol (MCP), clearly explained (why it matters)	Greg Isenberg	1319813	1218	2025-03-14
13	5xqFjh56AwM	MCP Crash Course: What Python Developers Need to Know	Dave Ebbelaar	257797	3466	2025-04-19
13	kOhLoixrJXo	MCP In 26 Minutes (Model Context Protocol)	Tina Huang	240059	1583	2025-10-15
13	cGuyrANVi4A	How Model Context Protocol (MCP) actually works	Google Cloud Tech	250953	478	2026-06-24
13	GAyNvq6Ayps	Running LLMs Locally Just Got Way Better - Ollama + MCP	Tech With Tim	152405	1311	2026-04-12
13	DosHnyq78xY	Intro to MCP Servers – Model Context Protocol with Python Course	freeCodeCamp.org	103319	4362	2025-10-15
13	Y0tZ35dFFx4	10 - MCP Inspector: Test and Debug your MCP Server Locally	AI Anytime	23218	502	2025-04-04
13	N3vHJcHBS-w	Model Context Protocol (MCP) Explained in 20 Minutes	Shaw Talebi	217668	1189	2025-04-27
13	tlAxnGTkBEg	Breaking Down The NEW Stateless MCP Spec	Agentic Intelligence w/ Michael Levan	54	463	2026-08-01
14	TD2ihEBkdkY	Building Intelligent Agents with Strands: A Hands-On Guide	AWS Developers	241529	630	2025-06-24
14	LSk5KaEGVk4	Agentic AI Engineering: Complete 4-Hour Workshop feat. MCP, CrewAI and OpenAI Agents SDK	Jon Krohn	222565	12856	2025-06-11
14	ChaQ_tZDBFg	You Can Build The Craziest Things with Claudes Agent SDK	Traversy Media	51539	865	2026-03-23
14	JngWQLylFX8	Getting Started with Microsoft Agent Framework: Build Practical AI Agents	Microsoft Reactor	6929	4025	2026-05-12
14	0Z0GUDakR_A	Intro to multi-agent systems with ADK	Google Cloud Tech	16775	712	2026-06-08
15	Fbr_Solax1w	Introduction to Agent2Agent (A2A) Protocol	Google Cloud Tech	87753	479	2026-02-06
15	BM39OouLNsM	Build an End-to-End Multi-Agent AI System with LangGraph, MCP, Supervisor, Guardrails Safety & HITL	DSwithBappy	12245	18852	2026-07-31
16	d5EltXhbcfA	Building and evaluating AI Agents — Sayash Kapoor, AI Snake Oil	AI Engineer	239553	1199	2025-04-17
16	BsWxPI9UM4c	Why AI evals are the hottest new skill for product builders | Hamel Husain & Shreya Shankar	Lenny's Podcast	129115	6393	2025-09-25
16	a3SMraZWNNs	How to Systematically Setup LLM Evals (Metrics, Unit Tests, LLM-as-a-Judge)	Dave Ebbelaar	82253	3302	2025-09-04
16	pnlT_xatpVQ	LLM-as-a-Judge 101	Arize AI	3366	2628	2025-11-12
16	wcYnzHJlUR0	LLM Eval Tools Compared: Arize Phoenix	Hamel Husain	3054	1960	2025-10-01
16	wQ5ivl44mQw	Observing and Improving AI Agents with Langfuse	ClickHouse	446	3487	2026-07-08
17	Qvx2sVgQ-u0	Hacking AI is TOO EASY (this should be illegal)	NetworkChuck	1273294	1599	2025-08-12
17	rAEqP9VEhe8	Generative AI's Greatest Flaw - Computerphile	Computerphile	604740	742	2025-02-27
17	gUNXZMcd2jU	OWASP's Top 10 Ways to Attack LLMs: AI Vulnerabilities Exposed	IBM Technology	275228	1511	2026-03-07
17	5ZA1lTxTH3c	Securing AI Agents: How to Prevent Hidden Prompt Injection Attacks	IBM Technology	27352	607	2026-01-10
17	7Z7ID5BbZU4	Containers Don't Make Your AI Agent Safe	Web Dev Simplified	38815	2176	2026-06-30
17	cNE7P5FkqR8	Andrew Bullen - Breaking the Lethal Trifecta (Without Ruining Your Agents) | [un]prompted 2026	unprompted	673	1141	2026-03-25
18	E8zpgNPx8jE	Build a Complete End-to-End GenAI Project in 3 Hours	Dave Ebbelaar	139262	10707	2025-11-15
18	LSk5KaEGVk4	Agentic AI Engineering: Complete 4-Hour Workshop feat. MCP, CrewAI and OpenAI Agents SDK	Jon Krohn	222565	12856	2025-06-11
18	BM39OouLNsM	Build an End-to-End Multi-Agent AI System with LangGraph, MCP, Supervisor, Guardrails Safety & HITL	DSwithBappy	12245	18852	2026-07-31
